
管理学(26种)
序号,期刊名称,期刊信息
12,电化教育研究,"兰州市安宁东路967号西北师范大学内(730070)(0931)7971823"
13,教育理论与实践,"山西省太原市解放路东头道巷9号(030009)(0351)5604632  5604616"
14,课程·教材·教法,"北京市海淀区中关村南大街17号院1号楼(100081)(010)58758977"
15,中国高等教育,"北京市海淀区文慧园北路10号(100082)(010)62243806"
16,中国教育学刊,"北京西单大木仓胡同35号(100816)(010)64845699"
17,开放教育研究,"上海市大连路1541号1301室(200086)(021)65631403"
18,学位与研究生教育,"北京中关村南大街5号(100081)(010)68912292"
19,中国电化教育,"北京复兴门内大街160号电教大楼013信箱(100031)(010)66490924"
20,教育科学,"大连市黄河路850号(116029)(0411)84258254"
21,外语电化教学,"上海大连西路550号366信箱(200083)(021)65311900-2514"
22,现代教育技术,"北京清华大学电教中心(100084)(010)62782405"
23,中国远程教育(上),"北京市海淀区西四环中路45号(100039)(010)68182520"
24,高教探索,"广州市小北路155号(510045)(020)83566017"
25,江苏高教,"南京市草场门石头城9号(210013)(025)83718422"
26,现代大学教育,"湖南长沙市岳麓山中南大学《现代大学教育》编辑部(410083)(0731)8876856"
27,现代远距离教育,"哈尔滨市和兴路92号(150080)(0451)86301414"
28,中国大学教学,"北京西城区德胜门外大街4号(100011)(010)58581864"
29,高等工程教育研究,"湖北武汉华中科技大学内(430074)(027)87542950"
30,外国中小学教育,"上海市桂林路100号(200234)(021)64322352"
31,上海教育科研,"上海市茶陵北路21号(200032)(021)64438001-329"
32,中国特殊教育,"中国北京北三环中路46号(100088)(010)62003358  62003367"
